Accuracy_train_h24_w256_ov64_300s,Loss_train_h24_w256_ov64_300s,Accuracy_train_h36_w256_ov64_300s,Loss_train_h36_w256_ov64_300s,Accuracy_train_h48_w256_ov64_300s,Loss_train_h48_w256_ov64_300s,Accuracy_train_h36-48_w256_ov64_300s,Loss_train_h36-48_w256_ov64_300s,Accuracy_train_h12-24_w128_ov64_40s,Loss_train_h12-24_w128_ov64_40s,Accuracy_train_h24-36_w128_ov64_40s,Loss_train_h24-36_w128_ov64_40s,Accuracy_train_h36-48_w128_ov64_40s,Loss_train_h36-48_w128_ov64_40s,Accuracy_train_h24-36-48_w128_ov64_40s,Loss_train_h24-36-48_w128_ov64_40s,Accuracy_train_h12-24-36-48_w128_ov64_40s,Loss_train_h12-24-36-48_w128_ov64_40s
0.585555559,0.643744139,0.644666702,0.664685924,0.520901611,0.693986962,0.659420304,0.614491839,0.483000004,0.672977418,0.512093021,0.678208338,0.621240301,0.660090237,0.494572859,0.685580871,0.478275862,0.685396709
0.589324622,0.645171276,0.646405263,0.667894686,0.522982936,0.693646159,0.659278219,0.615743826,0.485294122,0.672604367,0.513847325,0.675115932,0.621675018,0.661092747,0.495713858,0.685780747,0.481406356,0.685801437
0.593215816,0.645992907,0.647756445,0.666191608,0.525535911,0.694316222,0.659977718,0.613552296,0.486813191,0.674266592,0.514782953,0.680405509,0.622391167,0.658342341,0.497390795,0.684697033,0.483587533,0.685121183
0.597222226,0.646998345,0.647798777,0.6659548,0.527064618,0.693911881,0.660377373,0.614773262,0.489622646,0.674261082,0.515241058,0.68499403,0.622934028,0.659831786,0.499194079,0.682533043,0.485849057,0.685316132
0.598508235,0.643796863,0.647839541,0.665926751,0.528916183,0.693587172,0.663714454,0.616585772,0.491137571,0.673551881,0.515248168,0.687632786,0.623313228,0.65577121,0.499999996,0.682909653,0.487707535,0.685199409
0.601767681,0.641034461,0.649090944,0.665901271,0.5296572,0.692954901,0.666403178,0.613358162,0.492337667,0.672905542,0.514260701,0.690361749,0.624101473,0.652334921,0.501598899,0.682649396,0.489341694,0.685524057
0.605406751,0.640307869,0.649702416,0.663947813,0.530298567,0.692247192,0.669254674,0.61378859,0.492857148,0.672617578,0.515122117,0.688429984,0.623754146,0.649809936,0.50296123,0.68209165,0.491379311,0.685022192
0.605994157,0.63983023,0.650292433,0.662405545,0.53027032,0.692668728,0.667683717,0.616516969,0.493609027,0.670872274,0.515953308,0.6908931,0.623691004,0.653315029,0.503305999,0.681639764,0.492589232,0.685506501
0.60871648,0.639406438,0.648563253,0.661853729,0.530737677,0.692626062,0.666666682,0.617118727,0.494211827,0.671423004,0.515947648,0.691607037,0.623630039,0.654681807,0.505025121,0.680074039,0.493014269,0.684021696
0.609698687,0.642337456,0.645762747,0.660116046,0.532509002,0.692114837,0.667649242,0.612898596,0.494552063,0.672714492,0.514750442,0.692408927,0.624228084,0.654095788,0.504386334,0.678733086,0.492694331,0.684576564
0.611342598,0.643253485,0.643888924,0.657798909,0.532035491,0.691218304,0.668840595,0.613306446,0.495476195,0.672437428,0.516067101,0.692795186,0.624676996,0.657907021,0.506030146,0.679483428,0.49224138,0.68365798
0.612932609,0.642454995,0.643169433,0.658541171,0.533391534,0.690548842,0.669042543,0.616447893,0.496252933,0.673405546,0.516059854,0.692619077,0.625492433,0.653331203,0.506878651,0.679039259,0.493075184,0.684063474
0.615367388,0.641546819,0.643279604,0.658257358,0.533580088,0.690138644,0.669705485,0.615309436,0.496313369,0.673717394,0.517060904,0.694539809,0.625406346,0.649166617,0.507699785,0.678634173,0.493186875,0.683193922
0.618386248,0.641661355,0.644179929,0.657401894,0.534348137,0.689786259,0.670347381,0.615455615,0.496712023,0.674037725,0.515426009,0.694872551,0.623600339,0.646394954,0.508494852,0.678992141,0.492337165,0.683071219
0.618489588,0.641273509,0.642187535,0.656753339,0.534707964,0.68831103,0.666893131,0.614000278,0.497321433,0.672866365,0.515795329,0.694121095,0.622335266,0.650242731,0.509422107,0.679547273,0.492456897,0.683005924
0.620085475,0.63934916,0.642051317,0.656710231,0.535182822,0.688918444,0.666443717,0.612565415,0.496923082,0.671411875,0.516513863,0.696073317,0.622659506,0.650666068,0.509625045,0.679665367,0.492705571,0.681815093
0.62268519,0.637600207,0.642676803,0.655288697,0.535891676,0.688684313,0.662714113,0.616227146,0.497077927,0.671243417,0.517565736,0.69465099,0.620389941,0.651479533,0.510659354,0.681426357,0.493469175,0.681456212
0.62334163,0.637735722,0.640298543,0.656699951,0.536090013,0.687596548,0.663854655,0.613432456,0.4966951,0.67059684,0.518236396,0.693999984,0.620617836,0.651574463,0.510312754,0.68070091,0.492794648,0.681694389
0.624795756,0.636847725,0.638235329,0.656020118,0.537307108,0.686637968,0.665174781,0.613580099,0.49663866,0.670226271,0.518657552,0.69216633,0.62061103,0.651388096,0.510641439,0.680629525,0.493788033,0.682586776
0.626207734,0.637066648,0.63792274,0.656183421,0.537894959,0.686113062,0.663726122,0.616002372,0.496169777,0.668826885,0.518840052,0.690173925,0.618357483,0.650805933,0.510742113,0.68025921,0.494502749,0.682472306
0.628174608,0.635289094,0.637857177,0.657884132,0.538758753,0.686827538,0.665838524,0.612339268,0.496224494,0.668784847,0.519463765,0.688086379,0.615393129,0.650695357,0.511773148,0.678238251,0.495073892,0.682549084
0.630086077,0.636277196,0.63755872,0.656730348,0.539136429,0.687174236,0.667483174,0.612179163,0.4970825,0.669863045,0.520069909,0.685791266,0.614259194,0.649819215,0.512633587,0.677290264,0.496236038,0.681707972
0.631944449,0.634965825,0.637500034,0.656100978,0.539503615,0.686949577,0.668075699,0.609779783,0.497916671,0.669503938,0.519791161,0.68245209,0.613049091,0.650599793,0.513121157,0.678290981,0.496767243,0.679215186
0.633371389,0.634150238,0.637671267,0.655149073,0.538737901,0.68724341,0.669446113,0.6086679,0.498630142,0.669834041,0.520269193,0.67902717,0.612403096,0.652583774,0.512356298,0.677541543,0.496929619,0.679253367
0.634384388,0.632897329,0.638288323,0.655332864,0.539432847,0.687365425,0.670387793,0.605693319,0.498938229,0.669304202,0.520523156,0.682151531,0.612926876,0.654139993,0.512359089,0.677268218,0.497670085,0.678880456
0.635555559,0.631390669,0.636666702,0.654823321,0.540491774,0.688650746,0.669758468,0.608286841,0.500000005,0.668275863,0.521603681,0.683224156,0.610542631,0.658021103,0.512696813,0.676287797,0.498275863,0.680054466
0.63669591,0.630783733,0.63684214,0.656169569,0.540606097,0.687609738,0.671052646,0.608958511,0.500375945,0.668282192,0.521833402,0.681760751,0.610873109,0.659694309,0.513091771,0.677517133,0.49920599,0.680708776
0.637806641,0.630151463,0.638528174,0.653705996,0.541196479,0.686717811,0.672689643,0.606448643,0.500463826,0.667966895,0.52236154,0.680425367,0.610691629,0.661365185,0.513084901,0.67664641,0.49966413,0.678322564
0.63942308,0.631612188,0.639743625,0.654107733,0.541561551,0.687010898,0.671497598,0.604043214,0.500183155,0.66708617,0.522675815,0.678056908,0.610812955,0.658388967,0.513271482,0.677610437,0.500110523,0.677266702
0.640646979,0.632567479,0.639451511,0.654133631,0.541761747,0.685184104,0.672170257,0.605594036,0.500994579,0.667435484,0.523674381,0.680594614,0.610833084,0.659072636,0.513198902,0.677210803,0.500327369,0.677373953
0.640798615,0.633810803,0.640000035,0.654122348,0.542110627,0.685308862,0.674275376,0.602556582,0.502232147,0.666019323,0.524550326,0.683435316,0.610368212,0.65654563,0.513442207,0.676360251,0.500969829,0.675981629
0.641117973,0.637223896,0.640535015,0.65279587,0.54265328,0.686204854,0.674539287,0.604971639,0.50220459,0.665152066,0.525597544,0.685330311,0.610297631,0.654583173,0.514051736,0.676904645,0.501170712,0.676057066
0.641937673,0.63546147,0.64146345,0.653563089,0.542982778,0.685572542,0.676033948,0.606553044,0.502177705,0.665050409,0.525857025,0.686352712,0.609850628,0.655766665,0.51440127,0.677186563,0.501576956,0.675960558
0.643072292,0.634047364,0.642369513,0.65088424,0.543501847,0.685803706,0.676619535,0.609966787,0.502065409,0.664107461,0.52648676,0.685695733,0.610161572,0.65354413,0.514924014,0.676008067,0.501661821,0.675518404
