Accuraccy_train_h24-28-32_w200_ov64_120-500s,Loss_train_h24-28-32_w200_ov64_120-500s,Accuraccy_train_h24-30-36_w200_ov64_120s-500s,Loss_train_h24-30-36_w200_ov64_120s-500s,Accuraccy_train_h28-30-32_w200_ov64_120-500s,Loss_train_h28-30-32_w200_ov64_120-500s,Accuraccy_train_h28-32-36_w200_ov64_120s-500s,Loss_train_h28-32-36_w200_ov64_120s-500s,Accuraccy_train_h32-34-36_w200_ov64_120-500s,Loss_train_h32-34-36_w200_ov64_120-500s,Accuraccy_train_h38-40-42_w200_ov64_120s-500s,Loss_train_h38-40-42_w200_ov64_120s-500s,Accuraccy_train_h42-44-46_w200_ov64_120s-500s,Loss_train_h42-44-46_w200_ov64_120s-500s,Accuraccy_train_h24-28-32-36_w200_ov64_120-500s,Loss_train_h24-28-32-36_w200_ov64_120-500s,Accuraccy_train_h30-32-34-36_w200_ov64_120s-500s,Loss_train_h30-32-34-36_w200_ov64_120s-500s
0.612438888,0.634989577,0.605685117,0.602109478,0.655827986,0.662365108,0.671897545,0.607445404,0.603194541,0.658525661,0.564019726,0.678628489,0.571825412,0.712210694,0.678306865,0.599318694,0.613636384,0.683722049
0.615314012,0.634977045,0.608022505,0.615661049,0.655343954,0.661437728,0.673110413,0.609050886,0.604574594,0.654451933,0.56144531,0.67844128,0.56839082,0.710768496,0.680459756,0.594972141,0.613113918,0.684103388
0.616856777,0.63428994,0.609863931,0.608580737,0.652736302,0.661493948,0.671717171,0.60938488,0.60452261,0.652605651,0.559929047,0.67813467,0.569074088,0.709186949,0.681975295,0.593097686,0.616414163,0.680935665
0.617196121,0.633664337,0.611586555,0.618901788,0.653667133,0.665573383,0.671880089,0.605372378,0.605446585,0.643162402,0.559368535,0.676334179,0.571146967,0.705820045,0.684109903,0.592710252,0.615713609,0.681919304
0.617276612,0.631674409,0.613042077,0.617056769,0.654695258,0.662540932,0.671717171,0.605441465,0.606312811,0.643776717,0.559009278,0.676780406,0.570312513,0.705937592,0.685879616,0.592785013,0.61505684,0.684407566
0.619656638,0.635226905,0.614409385,0.615495614,0.656414879,0.674593309,0.672176307,0.600955548,0.607431092,0.639258923,0.558994167,0.675363786,0.569023582,0.703796845,0.687093141,0.588428423,0.614669443,0.681300353
0.621337504,0.637460181,0.616896743,0.61456763,0.658179674,0.679451642,0.671865714,0.595374308,0.608779187,0.637169091,0.557102598,0.677887636,0.568627464,0.699493962,0.687363821,0.59110798,0.617758489,0.68183072
0.622705047,0.638431772,0.618513104,0.613107977,0.659843624,0.692682785,0.671284269,0.594050212,0.610337397,0.635792732,0.555471094,0.680770378,0.569682554,0.697226143,0.688677236,0.588472054,0.615584437,0.683629114
0.62452471,0.637947629,0.620464837,0.619476687,0.662244318,0.70060345,0.671717169,0.589320102,0.611111106,0.635066585,0.554225739,0.681491777,0.570524706,0.69590801,0.689917684,0.589223919,0.616372076,0.680203358
0.625115605,0.638633227,0.623552108,0.627824617,0.663170618,0.70732217,0.672399669,0.582585818,0.611842993,0.632150896,0.554916589,0.681112897,0.569369384,0.696637948,0.687287276,0.587127393,0.616707638,0.681639415
0.62597558,0.635100318,0.624060135,0.629079391,0.66391724,0.697208472,0.672647525,0.582726146,0.611213959,0.638287889,0.556690899,0.683008704,0.57046785,0.695285519,0.684795311,0.585686457,0.618321393,0.683577125
0.627668904,0.633906238,0.625327038,0.63521105,0.665390977,0.700670799,0.67249417,0.581087977,0.611647977,0.634562309,0.558237832,0.679782852,0.571794886,0.694591217,0.682431138,0.585333128,0.619658141,0.680971366
0.628897334,0.635216224,0.6270408,0.635247334,0.665920381,0.694303866,0.671969694,0.580376349,0.61168341,0.64151876,0.558909545,0.681536789,0.573194459,0.693286888,0.675555545,0.585352402,0.621685628,0.676370765
0.629509409,0.634187498,0.629542045,0.628587316,0.666787995,0.695590003,0.671840352,0.579390026,0.611717115,0.638070451,0.560326904,0.680738109,0.572357739,0.69185566,0.673532059,0.586226534,0.623983762,0.675008572
